"
ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)",송준화,송준화
게임학회,우정희,관리자
경영관련 통합학술대회(전략경영학회 세션),조용래,김원준
기술경영경제학회,김의석,김원준
기술경영경제학회,김희철,차미영
뇌와 인공지능 심포지엄,김정훈,김정훈
담화인지언어학회-사회언어학회 공동학술대회,안동근,관리자
대한민국 기능성게임 컨퍼런스,도영임,도영임
대한의료정보학회,도영임,도영임
디지털 스토리텔링 컨퍼런스,김탁환,김탁환
디지털 스토리텔링 컨퍼런스,공현주,관리자
디지털 스토리텔링 컨퍼런스,이현진,전봉관
디지털 스토리텔링 콘퍼런스,최수영,관리자
디지털시대의 헤리티지와 뮤지엄연구회,채건호,김정화
디지털시대의 헤리티지와 뮤지엄연구회,윤아연,김정화
문화경제학회,허민회,관리자
미디어경영학회,이원재,이원재
사회및성격심리학회,임지민,도영임
서울 디지털 포럼,도영임,도영임
스마트폰-스마트패드 앱스 개발 방법 워크샵,김용훈,원광연
스마트폰-스마트패드 앱스 개발 방법 워크샵,김동진,우탁
인문콘텐츠학회 춘계학술대회,박웅진,원광연
정보과학회,김재우,차미영
정보과학회,박건우,차미영
케이티엔지 인문학 논문 공모 대회 최우수상 수상작,김성준,시정곤
패션디자인학회,한아영,김이경
패션디자인학회,박은아,김이경
한국 건설IT융합학회,김선중,이지현
한국 사회 및 성격심리학회,문지원,시정곤
한국 사회 및 성격심리학회,길경원,우운택
한국 사회 및 성격심리학회,도영임,도영임
한국 음향 학회 학술 대회,김태형,남주한
