한국디지털콘텐츠학회,류성한,13,,,,,,,,,,
한국멀티미디어학회,김종학,0,,,,,,,,,,
한국문화경제학회,소병희,0,,,,,,,,,,
한국문화경제학회,김진영,0,,,,,,,,,,
한국문화예술위원회,안민정,18,,,,,,,,,,
한국복잡계학회,17,17,,,,,,,,,,
한국복잡계학회,박도흠,23,,,,,,,,,,
한국복잡계학회,전규현,23,,,,,,,,,,
한국복잡계학회,23,23,,,,,,,,,,
한국복잡계학회,민세미,23,,,,,,,,,,
한국사회학회 전기사회학대회,유소라,10,,,,,,,,,,
한국사회학회 전기사회학대회,박현아,0,,,,,,,,,,
한국산업기술진흥원(KIAT),조용래,3,,,,,,,,,,
한국색채학회,백예슬,18,,,,,,,,,,
한국서양고대역사문화학회,18,18,,,,,,,,,,
한국서양고대역사문화학회,18,18,,,,,,,,,,
한국서양고전학회,18,18,,,,,,,,,,
한국심리학회 연차학술대회,김지연,6,,,,,,,,,,
한국심리학회 연차학술대회,김지연,6,,,,,,,,,,
한국여성커뮤니케이션학회,장예빛,0,,,,,,,,,,
한국음악지각인지학회,박새별,17,,,,,,,,,,
한국의류학회,한아영,0,,,,,,,,,,
한국인지과학회,안동근,0,,,,,,,,,,
한국전자음악협회(KEAMS) 학술대회,박시화,0,,,,,,,,,,
한국전자음악협회(KEAMS) 학술대회,0,0,,,,,,,,,,
한국전통문화국제학술회의,13,13,,,,,,,,,,
한국정보과학회,권세정,4,,,,,,,,,,
한국정보과학회,김재우,4,,,,,,,,,,
한국정보과학회,하유이,4,,,,,,,,,,
한국정보과학회,박건우,4,,,,,,,,,,
한국정보과학회,김성실,16,,,,,,,,,,
한국정보과학회,조정훈,16,,,,,,,,,,
한국정보과학회,하유이,4,,,,,,,,,,
한국정보처리학회,박상진,15,,,,,,,,,,
한국정보처리학회,강민석,0,,,,,,,,,,
한국조경학회,김익환,15,,,,,,,,,,
한국지능로봇종합학술대회,김선혁,0,,,,,,,,,,
한국컴퓨터그래픽스학회,유미,25,,,,,,,,,,
한국컴퓨터그래픽스학회,주은정,25,,,,,,,,,,
한국컴퓨터그래픽스학회,송재원,25,,,,,,,,,,
한국컴퓨터그래픽스학회,한다성,25,,,,,,,,,,
한국컴퓨터그래픽스학회,김계현,25,,,,,,,,,,
한국컴퓨터그래픽스학회,양수민,25,,,,,,,,,,
한국컴퓨터그래픽스학회,차승훈,25,,,,,,,,,,
한국컴퓨터그래픽스학회,김영휘,25,,,,,,,,,,
한국컴퓨터그래픽스학회,서형국,25,,,,,,,,,,
한국컴퓨터그래픽스학회,김국호,25,,,,,,,,,,
한국컴퓨터그래픽스학회,하태진,16,,,,,,,,,,
한국컴퓨터정보학회,이종욱,15,,,,,,,,,,
한국콘텐츠학회,안명욱,0,,,,,,,,,,
한국콘텐츠학회,강보라,13,,,,,,,,,,
한국패션디자인학회,고상아,0,,,,,,,,,,
한국패션디자인학회,하유이,0,,,,,,,,,,
한국패션디자인학회,이수지,0,,,,,,,,,,
한국패션디자인학회,강수련,0,,,,,,,,,,
한국패션디자인학회,유수진,0,,,,,,,,,,
한국패션디자인학회,김재인,0,,,,,,,,,,
한국패션디자인학회,김송미,0,,,,,,,,,,
한국패션디자인학회,하유이,0,,,,,,,,,,
한국PR학회,김호,0,,,,,,,,,,
후기사회학대회,0,0,,,,,,,,,,
Academy of Management Annual Meeting,10,10,,,,,,,,,,
ACE (Advances in Computer Entertainment Technology),맹수연,8,,,,,,,,,,
ACHI,강지영,0,,,,,,,,,,
ACHI,강지영,0,,,,,,,,,,
ACM Conference on Online Social Networks,Pollyanna Goncalves,4,,,,,,,,,,
ACM Group,반성훈,0,,,,,,,,,,
ACM IMCOM,김하연,0,,,,,,,,,,
ACM international conference on Design of Communication,이성업,0,,,,,,,,,,
ACM International Conference on Information and Knowledge Management (CIKM),"박건우,김재우,박자람,차미영",4,,,,,,,,,,
ACM International Conference on Multimedia,안미루,0,,,,,,,,,,
ACM international conference on Multimedia,최유리,0,,,,,,,,,,
"ACM International Conference on Tangible, Embedded, and Embodied Interaction, TEI",용상언,17,,,,,,,,,,
ACM International Conference on Virtual Reality Continuum and It,오제호,13,,,,,,,,,,
"ACM International Symposium on Wearable Computers, ISWC",Juyoung Lee,16,,,,,,,,,,
ACM Internet Measurement Conference,Tiago Rodrigues,4,,,,,,,,,,
ACM Intl Conference on Advances in Computer Entertainment Tech.,안미루,0,,,,,,,,,,
ACM SIGWEB: Hypertext,이성업,0,,,,,,,,,,
ACM Web Science,안지선,4,,,,,,,,,,
Acoustical Society of America,송민호,0,,,,,,,,,,
Acoustics,주강현,0,,,,,,,,,,
Acoustics,장지호,0,,,,,,,,,,
Acoustics,장지호,0,,,,,,,,,,
Advances in Computer Entertainment Technology,고건혁,0,,,,,,,,,,
AEJMC Annual Conference,장예빛,0,,,,,,,,,,
AES INTERNATIONAL CONFERENCE ON SEMANTIC AUDIO,정다샘,17,,,,,,,,,,
Annual Conference of AEJMC,윤건우,0,,,,,,,,,,
Annual Conference of the ICA,윤건우,0,,,,,,,,,,
"APAN, Network Research Workshop",박성일,0,,,,,,,,,,
Asia - Design Engineering Workshop,손우진,15,,,,,,,,,,
Asia - Design Engineering Workshop,이인정,15,,,,,,,,,,
Asia-Pacific Advanced Network,앤드류 하워드,0,,,,,,,,,,
Asia-Pacific Advanced Network,이종욱,0,,,,,,,,,,
Asia-Pacific Advanced Network,임성택,0,,,,,,,,,,
ASIAGRAPH,김정현,0,,,,,,,,,,
Asian Congress of Health Psychology,6,6,,,,,,,,,,
Asian Semantic Web Conference Workshop,공현주,0,,,,,,,,,,
Asian Workshop on User Interface,이주영,16,,,,,,,,,,
Asian Workshop on User Interface,신재은,16,,,,,,,,,,
Asian Workshop on User Interface,김형일,16,,,,,,,,,,
Asian Workshop on User Interface,김하연,16,,,,,,,,,,
ASONAM,김수연,0,,,,,,,,,,
Augmented Human International Conference (AHIC),박진우,16,,,,,,,,,,
Broadband Multimedia Systems and Broadcasting,조재훈,0,,,,,,,,,,
building smart korea international forum,이상원,0,,,,,,,,,,
CAAD futures,Xiaofang Yuan,15,,,,,,,,,,
CAADRIA,Xiaofang Yuan,15,,,,,,,,,,
CAADRIA,15,15,,,,,,,,,,
CAADRIA,이에스틴 조워스,15,,,,,,,,,,
CAADRIA,Wun-Bin Yang,15,,,,,,,,,,
CAADRIA,박지은,15,,,,,,,,,,
CAADRIA,이태하,15,,,,,,,,,,
CAADRIA,Amartuvshin Narangerel,15,,,,,,,,,,
CAADRIA,이지호,15,,,,,,,,,,
CAADRIA,민아람,15,,,,,,,,,,
CASA,정선진,25,,,,,,,,,,
CASA,오지혜,29,,,,,,,,,,
CASS(Control and Automation System Symposium),32,0,,,,,,,,,,
CCRMA,0,0,,,,,,,,,,
CCRMA,0,0,,,,,,,,,,
"CDVE(International Conference on Cooperative Design, Visualization and Engineering)",스벤 우빅,0,,,,,,,,,,
CGI,엄해광,25,,,,,,,,,,
CGI,김소영,25,,,,,,,,,,
CGI,설영호,25,,,,,,,,,,
CGI,김계현,25,,,,,,,,,,
CGI,강지형,25,,,,,,,,,,
CGI,장태권,25,,,,,,,,,,
CGI,박갑용,16,,,,,,,,,,
CGIV,오제호,13,,,,,,,,,,
CHI,김승훈,0,,,,,,,,,,
CHI,박도연,13,,,,,,,,,,
CHI,S. Joon Park,0,,,,,,,,,,
CHI,Taejin Ha,16,,,,,,,,,,
CHI,이수화,6,,,,,,,,,,
CHI,권예람,3,,,,,,,,,,
CHI,장대근,17,,,,,,,,,,
CHI,김지환,0,,,,,,,,,,
CHI,황성재,0,,,,,,,,,,
CHI,황성재,0,,,,,,,,,,
CHI,조형근,0,,,,,,,,,,
CHI,박은지,31,,,,,,,,,,
CHI,Antti Oulasvirta,31,,,,,,,,,,
CHI,"이병주,Sunjun Kim",31,,,,,,,,,,
CHI,31,31,,,,,,,,,,
"CHI Conference Extended Abstracts on Human Factors in Computing Systems, ACM","김하연, Lebogang Wame Molefi",16,,,,,,,,,,
CIPA symposium,김선혁,0,,,,,,,,,,
Cognitive Neuroscience Society,박성민,0,,,,,,,,,,
Cognitive Science Conference,정종욱,5,,,,,,,,,,
CompleNet,박도흠,23,,,,,,,,,,
CompleNet,전규현,23,,,,,,,,,,
Computer Animation and Social Agents,장태권,25,,,,,,,,,,
Computer Animation and Social Agents,한다성,25,,,,,,,,,,
Conference of Association for Consumer Research (Asia Pacific),윤건우,3,,,,,,,,,,
Conference on Computer-Aided Architectural Design Research in Asia,현경훈,15,,,,,,,,,,
CSCW,"박성규,김인엽",4,,,,,,,,,,
CSCW,지주민,0,,,,,,,,,,
CSCW,박건우,4,,,,,,,,,,
CSCW,김윤지,0,,,,,,,,,,
Cyberworld,김기홍,0,,,,,,,,,,
Design Computing and Cognition,현경훈,15,,,,,,,,,,
Design Engineering Workshop,김선중,15,,,,,,,,,,
Designing for User eXperie,김탄영,0,,,,,,,,,,
Designing Interactive Systems (DIS),김선중,15,,,,,,,,,,
DEWS,현경훈,15,,,,,,,,,,
DEWS,김선중,15,,,,,,,,,,
Digital Heritage,김선혁,0,,,,,,,,,,
Digital Heritage,Eunseok Kim,16,,,,,,,,,,
Digital Heritage,이종욱,0,,,,,,,,,,
Digital Heritage,안재홍,0,,,,,,,,,,
DIME Research Network conference on Intellectual propertyRights,0,0,,,,,,,,,,
DISC (Daegu Gyeongbuk International Social Network Conference),"강성준,김승회,이석원, 임은지,윤선범",4,,,,,,,,,,
DISC (Daegu Gyeongbuk International Social Network Conference),김인엽,4,,,,,,,,,,
eCAADe Conference,김윤현,15,,,,,,,,,,
eCAADe Conference,김선중,15,,,,,,,,,,
eCAADe Conference,Amartuvshin Narangerel,15,,,,,,,,,,
eCAADe Conference,이종욱,15,,,,,,,,,,
eCAADe Conference,Amartuvshin Narangerel,15,,,,,,,,,,
eCAADe Conference,민아람,15,,,,,,,,,,
Elsevier Inc.,0,0,,,,,,,,,,
Eurographics,한다성,25,,,,,,,,,,
Eurographics,송재원,25,,,,,,,,,,
EuroMed,하태진,16,,,,,,,,,,
European Conference on Complex Systems (ECCS),박도흠,23,,,,,,,,,,
European Conference on Complex Systems (ECCS),신승규,23,,,,,,,,,,
European Conference on Complex Systems (ECCS),23,23,,,,,,,,,,
EvoMUSART,김승훈,17,,,,,,,,,,
Global Congress for Qualitative Health Research(GCQHR),박민수,4,,,,,,,,,,
HAPTICS,32,32,,,,,,,,,,
Hawaii International Conference on System Science,양준혁,3,,,,,,,,,,
HCI,이상희,18,,,,,,,,,,
HCI,이지영,0,,,,,,,,,,
HCI,안민정,18,,,,,,,,,,
HCI,김승훈,0,,,,,,,,,,
HCI,박은아,0,,,,,,,,,,
HCI,서재우,25,,,,,,,,,,
HCI,강수련,0,,,,,,,,,,
HCI,김혜영,0,,,,,,,,,,
HCI,김민혜,13,,,,,,,,,,
HCI,김봉준,0,,,,,,,,,,
HCI,허동욱,0,,,,,,,,,,
HCI,이윤진,0,,,,,,,,,,
HCI,이석우,6,,,,,,,,,,
HCI,이석우,6,,,,,,,,,,
HCI,하유이,0,,,,,,,,,,
HCI International,이진아,0,,,,,,,,,,
HCI International,김민서,5,,,,,,,,,,
HCI international,하유이,0,,,,,,,,,,
HCI International,맹수연,8,,,,,,,,,,
HCI International,이석원,29,,,,,,,,,,
HCI International,박노영,16,,,,,,,,,,
HCI International,오제호,13,,,,,,,,,,
HCI International,이세연,13,,,,,,,,,,
HCI International,김민서,13,,,,,,,,,,
HCI International,박새별,13,,,,,,,,,,
HCI International,현경훈,15,,,,,,,,,,
HCI International,최인경,15,,,,,,,,,,
HCI International,Taejin Ha,16,,,,,,,,,,
HCI International,Hayun Kim,16,,,,,,,,,,
